Year,Market_Size_USD_B, YoY_Growth_%,CAGR_Period,Key_Event ,Source,Cumulative_Growth_%
2019,181.1,14,,Pre-COVID peak,Grand View Research,0
2020,113,-37.6,,COVID-19 crash,Grand View Research,-37.6
2021,140,23.9,,Partial recovery,Multiple,-22.7
2022,183,30.7,,Full reopening,Multiple,1
2023,235.5,28.7,,Strong growth,Grand View Research,30
2024,286.2,21.5,,Record high,SkyQuestt,58
2025,330.6,15.5,15.5% CAGR,Projected,Fortune BI,82.6
2026,337.2,2,16.26% CAGR,Projected,Fortune BI,86.2
2030,665.2,,16% CAGR,Projected,Grand View,267.3
2034,1125.1,,15.5% CAGR,Projected,Fortune BI,521.3
