Barrier,Impact,% Affected,Type,Solution
Sustainability important but not booking priority,9,45,Attitude,Make sustainability a value-add not a sacrifice
Tired of hearing about climate change,7,28,Fatigue,Reframe as experience quality not obligation
Sustainable accommodation costs more (perceived),8,40,Price,Show actual data: sustainable is 39% cheaper
Hard to find verified sustainable options on OTAs,9,55,Accessibility,Dedicated sustainability filter on booking platforms
Unsure if sustainability claims are genuine,8,62,Trust,Third-party certification visibility
Sustainability certification details hard to find,7,48,Information,One-click certification explanation on listings
Limited sustainable options at preferred destinations,6,35,Supply,Destination-level sustainability development
Sustainable travel seen as less comfortable,5,22,Perception,Luxury eco-lodges and premium positioning
No social proof from peers about sustainability,6,30,Social,User-generated content and reviews
Climate change fatigue reduces engagement,7,28,Emotional,Positive framing: conservation wins not doom
,,,,
BARRIER SUMMARY,,,,
Top barrier (highest impact),Sustainability important but not booking priority,,,
Avg impact score,7.2,,,
Most common barrier (% travelers),Unsure if sustainability claims are genuine,,,
Trust barriers (count),1,,,
